population,x,y
12708,133.6,-74.63
6596,134.73,-74.63
203,142.7,-82.96
455,143.83,-82.96
879,144.95,-82.96
67,141.56,-82.04
4904,142.69,-82.04
2817,143.82,-82.04
636,144.95,-82.04
522,146.08,-82.04
2257,141.55,-81.11
4148,142.68,-81.11
2283,143.81,-81.11
499,144.94,-81.11
231,146.07,-81.11
1875,141.55,-80.19
3176,142.67,-80.19
460,143.8,-80.19
1208,141.54,-79.26
3880,142.67,-79.26
4667,143.8,-79.26
863,144.92,-79.26
422,146.05,-79.26
1829,140.4,-78.33
5646,141.53,-78.33
8328,142.66,-78.33
6219,143.79,-78.33
5159,144.92,-78.33
3110,146.05,-78.33
1469,135.88,-77.41
1789,137.01,-77.41
1417,138.14,-77.41
420,139.27,-77.41
4976,140.39,-77.41
6919,141.52,-77.41
3490,142.65,-77.41
6233,143.78,-77.41
1294,144.91,-77.41
3336,146.04,-77.41
4074,135.87,-76.48
5244,137.0,-76.48
3338,138.13,-76.48
7411,139.26,-76.48
6965,140.39,-76.48
3308,141.52,-76.48
1659,142.64,-76.48
66,143.77,-76.48
2647,144.9,-76.48
7440,146.03,-76.48
6360,135.87,-75.56
3907,136.99,-75.56
2971,138.12,-75.56
3931,139.25,-75.56
4647,140.38,-75.56
3486,141.51,-75.56
1417,142.64,-75.56
1442,143.77,-75.56
8153,144.89,-75.56
10098,146.02,-75.56
5260,135.86,-74.63
5908,136.99,-74.63
5036,138.12,-74.63
1727,139.24,-74.63
1965,140.37,-74.63
2065,141.5,-74.63
95,142.63,-74.63
1836,143.76,-74.63
10513,144.89,-74.63
10161,146.02,-74.63
16,147.21,-82.96
2648,148.34,-82.96
7417,149.47,-82.96
9686,150.6,-82.96
9126,151.73,-82.96
8283,152.86,-82.96
8001,153.99,-82.96
9200,155.12,-82.96
5087,156.24,-82.96
232,157.37,-82.96
975,147.2,-82.04
6055,148.33,-82.04
10471,149.46,-82.04
7496,150.59,-82.04
8083,151.72,-82.04
7618,152.85,-82.04
4271,153.98,-82.04
1621,155.11,-82.04
1365,156.24,-82.04
7,157.36,-82.04
163,147.2,-81.11
3858,148.33,-81.11
7089,149.45,-81.11
7243,150.58,-81.11
10382,151.71,-81.11
75,152.84,-81.11
102,147.19,-80.19
1531,148.32,-80.19
5152,149.45,-80.19
8481,150.58,-80.19
3570,151.7,-80.19
1903,147.18,-79.26
4026,148.31,-79.26
4391,149.44,-79.26
878,150.57,-79.26
39,151.7,-79.26
3660,147.17,-78.33
619,148.3,-78.33
8155,147.17,-77.41
134,148.3,-77.41
11427,147.16,-76.48
91,148.29,-76.48
7909,147.15,-75.56
6770,147.14,-74.63
51,96.36,-73.7
2,97.49,-73.7
146,98.62,-73.7
778,99.75,-73.7
3813,100.87,-73.7
243,96.36,-72.78
376,97.48,-72.78
125,98.61,-72.78
1060,99.74,-72.78
756,100.87,-72.78
4,91.84,-71.85
8,92.97,-71.85
473,96.35,-71.85
336,97.48,-71.85
1791,98.61,-71.85
1393,99.73,-71.85
329,100.86,-71.85
4,90.7,-70.93
55,91.83,-70.93
96,92.96,-70.93
69,94.09,-70.93
20,95.22,-70.93
441,96.35,-70.93
1784,97.47,-70.93
1051,98.6,-70.93
785,99.73,-70.93
10,91.83,-70.0
229,92.96,-70.0
42,94.08,-70.0
6,95.21,-70.0
71,96.34,-70.0
4,97.47,-70.0
89,98.6,-70.0
22,100.85,-70.0
7,91.82,-69.07
110,92.95,-69.07
46,95.21,-69.07
6,96.34,-69.07
22,100.85,-69.07
45,92.95,-68.15
64,94.07,-68.15
1,95.2,-68.15
12,96.33,-68.15
135,100.84,-68.15
66,94.07,-67.22
2,97.45,-67.22
18,100.84,-67.22
43,94.06,-66.3
2,90.68,-65.37
44,94.06,-65.37
2772,102.0,-73.7
5505,103.13,-73.7
2586,104.26,-73.7
56,105.39,-73.7
196,106.52,-73.7
77,107.64,-73.7
213,108.77,-73.7
138,109.9,-73.7
1762,111.03,-73.7
147,112.16,-73.7
2923,102.0,-72.78
3443,103.13,-72.78
742,104.25,-72.78
55,105.38,-72.78
58,106.51,-72.78
66,107.64,-72.78
254,108.77,-72.78
256,109.89,-72.78
2456,111.02,-72.78
65,112.15,-72.78
297,101.99,-71.85
363,104.25,-71.85
116,105.38,-71.85
149,106.5,-71.85
105,107.63,-71.85
317,108.76,-71.85
1023,109.89,-71.85
4370,111.02,-71.85
305,112.15,-71.85
424,104.24,-70.93
187,105.37,-70.93
931,106.5,-70.93
775,107.63,-70.93
684,108.76,-70.93
3862,109.88,-70.93
5447,111.01,-70.93
1323,112.14,-70.93
166,104.24,-70.0
2035,105.37,-70.0
8609,106.49,-70.0
7616,107.62,-70.0
5237,108.75,-70.0
7680,109.88,-70.0
6254,111.01,-70.0
821,112.13,-70.0
1,101.98,-69.07
68,103.1,-69.07
204,104.23,-69.07
2575,105.36,-69.07
8144,106.49,-69.07
2506,107.62,-69.07
4626,108.74,-69.07
5776,109.87,-69.07
5608,111.0,-69.07
2669,112.13,-69.07
455,101.97,-68.15
41,103.1,-68.15
114,104.23,-68.15
1127,105.35,-68.15
5818,106.48,-68.15
4488,107.61,-68.15
1479,108.74,-68.15
6161,109.87,-68.15
1262,110.99,-68.15
943,112.12,-68.15
245,101.96,-67.22
249,103.09,-67.22
32,104.22,-67.22
542,105.35,-67.22
2465,106.48,-67.22
2768,107.6,-67.22
2010,108.73,-67.22
1044,109.86,-67.22
1167,110.99,-67.22
162,112.12,-67.22
144,101.96,-66.3
158,103.09,-66.3
240,104.22,-66.3
246,105.34,-66.3
455,106.47,-66.3
628,107.6,-66.3
372,110.98,-66.3
29,112.11,-66.3
5,101.95,-65.37
21,105.34,-65.37
22,106.47,-65.37
335,107.59,-65.37
15,108.72,-65.37
311,110.98,-65.37
124,113.29,-73.7
113,114.41,-73.7
36,115.54,-73.7
1863,116.67,-73.7
6962,117.8,-73.7
8385,118.93,-73.7
9393,120.06,-73.7
3416,121.18,-73.7
6747,122.31,-73.7
1172,123.44,-73.7
440,113.28,-72.78
902,114.41,-72.78
448,115.54,-72.78
4311,116.66,-72.78
4521,117.79,-72.78
8642,118.92,-72.78
11066,120.05,-72.78
3627,121.18,-72.78
7049,122.31,-72.78
1405,123.43,-72.78
844,113.27,-71.85
921,114.4,-71.85
764,115.53,-71.85
4517,116.66,-71.85
2128,117.79,-71.85
5181,118.91,-71.85
6593,120.04,-71.85
6370,121.17,-71.85
8731,122.3,-71.85
1285,123.43,-71.85
4101,113.27,-70.93
5301,114.4,-70.93
3430,115.52,-70.93
2684,116.65,-70.93
583,117.78,-70.93
1294,118.91,-70.93
1982,120.04,-70.93
2775,121.16,-70.93
7536,122.29,-70.93
602,123.42,-70.93
3669,113.26,-70.0
7356,114.39,-70.0
6228,115.52,-70.0
210,116.65,-70.0
2228,117.77,-70.0
863,118.9,-70.0
1112,120.03,-70.0
3381,121.16,-70.0
4596,122.29,-70.0
3684,123.41,-70.0
649,113.26,-69.07
5573,114.38,-69.07
9534,115.51,-69.07
565,116.64,-69.07
6061,117.77,-69.07
2025,118.9,-69.07
607,120.02,-69.07
933,121.15,-69.07
1487,122.28,-69.07
3534,123.41,-69.07
131,113.25,-68.15
1352,114.38,-68.15
5094,115.51,-68.15
740,116.63,-68.15
5882,117.76,-68.15
5572,118.89,-68.15
2643,120.02,-68.15
1068,121.15,-68.15
1194,122.27,-68.15
3301,123.4,-68.15
67,114.37,-67.22
1647,115.5,-67.22
3849,116.63,-67.22
10329,117.76,-67.22
8436,118.88,-67.22
3057,120.01,-67.22
893,121.14,-67.22
1699,122.27,-67.22
2615,123.4,-67.22
12,114.37,-66.3
626,115.49,-66.3
3268,116.62,-66.3
6806,117.75,-66.3
2876,118.88,-66.3
787,120.01,-66.3
2033,121.13,-66.3
862,122.26,-66.3
1710,123.39,-66.3
144,114.36,-65.37
478,115.49,-65.37
1691,116.62,-65.37
1265,117.74,-65.37
2242,118.87,-65.37
7663,120.0,-65.37
11465,121.13,-65.37
876,122.25,-65.37
2899,123.38,-65.37
8706,124.57,-73.7
13679,125.7,-73.7
6801,126.83,-73.7
9785,127.95,-73.7
12135,129.08,-73.7
11510,130.21,-73.7
13836,131.34,-73.7
6543,132.47,-73.7
13856,133.6,-73.7
12153,134.72,-73.7
5398,124.56,-72.78
6929,125.69,-72.78
10458,126.82,-72.78
10215,127.95,-72.78
8990,129.08,-72.78
9511,130.2,-72.78
12332,131.33,-72.78
8771,132.46,-72.78
12353,133.59,-72.78
14153,134.72,-72.78
1166,124.56,-71.85
4814,125.68,-71.85
11146,126.81,-71.85
4300,127.94,-71.85
605,129.07,-71.85
3933,130.2,-71.85
1326,131.33,-71.85
9311,132.45,-71.85
6643,133.58,-71.85
8870,134.71,-71.85
5249,124.55,-70.93
6695,125.68,-70.93
4977,126.81,-70.93
1209,127.93,-70.93
1248,129.06,-70.93
9677,130.19,-70.93
3822,131.32,-70.93
11858,132.45,-70.93
